ticker,name,sector,first_date,last_date,n_days,short_history,active
1010.SR,Riyad Bank,Financials,2001-12-31,2026-09-22,6404,False,True
1020.SR,Bank Aljazira,Financials,2001-12-31,2026-09-22,6392,False,True
1030.SR,Saudi Investment Bank,Financials,2001-12-31,2026-09-22,6399,False,True
1050.SR,Banque Saudi Fransi,Financials,2001-12-31,2026-09-22,6395,False,True
1060.SR,Saudi British Bank,Financials,2001-12-31,2026-09-22,6377,False,True
1080.SR,Arab National Bank,Financials,2001-12-31,2026-09-22,6382,False,True
1120.SR,Al Rajhi Bank,Financials,2001-12-31,2026-09-22,6403,False,True
1140.SR,Bank Albilad,Financials,2005-04-30,2026-09-22,5406,False,True
1150.SR,Alinma Bank,Financials,2008-06-03,2026-09-22,4578,False,True
1180.SR,National Commercial Bank,Financials,2014-11-12,2026-09-22,2976,False,True
1201.SR,Takween Advanced Industries Co.,Materials,2012-02-07,2026-09-22,3662,False,True
1202.SR,Middle East Paper Co.,Materials,2015-05-03,2026-09-22,2855,False,True
1210.SR,Basic Chemical Industries Co.,Materials,2008-06-16,2026-09-22,4568,False,True
1211.SR,Saudi Arabian Mining Co.,Materials,2008-07-28,2026-09-22,4537,False,True
1212.SR,Astra Industrial Group,Industrials,2008-08-18,2026-09-22,4523,False,True
1213.SR,Al Sorayai Trading and Industrial Group,Consumer Discretionary,2010-02-22,2026-09-22,4149,False,True
1214.SR,Al Hassan Ghazi Ibrahim Shaker Co.,Consumer Discretionary,2010-05-17,2026-09-22,4090,False,True
1301.SR,United Wire Factories Co.,Materials,2011-08-21,2026-09-22,3773,False,True
1302.SR,Bawan Co.,Industrials,2013-12-24,2026-09-22,3196,False,True
1303.SR,Electrical Industries Co.,Industrials,2014-12-07,2026-09-22,2959,False,True
1304.SR,Al Yamamah Steel Industries Co.,Materials,2016-05-22,2026-09-22,2589,False,True
1320.SR,Saudi Steel Pipe Co.,Materials,2009-08-04,2026-09-22,4283,False,True
1810.SR,Seera Group Holding,Consumer Discretionary,2012-06-04,2026-09-22,3579,False,True
1820.SR,Abdulmohsen Alhokair Group for Tourism and Development,Consumer Discretionary,2014-06-26,2026-09-22,3064,False,True
