ticker,name_en,name_ar
1010.SR,Riyad Bank,بنك الرياض
1020.SR,Bank Aljazira,بنك الجزيرة
1030.SR,Saudi Investment Bank,البنك السعودي للاستثمار
1050.SR,Banque Saudi Fransi,البنك السعودي الفرنسي
1060.SR,Saudi Awwal Bank,البنك السعودي الأول
1080.SR,Arab National Bank,البنك العربي الوطني
1120.SR,Al Rajhi Bank,مصرف الراجحي
1140.SR,Bank Albilad,بنك البلاد
1150.SR,Alinma Bank,مصرف الإنماء
1180.SR,Saudi National Bank,البنك الأهلي السعودي
1201.SR,Takween Advanced Industries Co.,شركة تكوين المتطورة للصناعات
1202.SR,Middle East Paper Co.,شركة الشرق الأوسط لصناعة وإنتاج الورق
1210.SR,Basic Chemical Industries Co.,شركة الصناعات الكيميائية الأساسية
1211.SR,Saudi Arabian Mining Co.,شركة التعدين العربية السعودية
1212.SR,Astra Industrial Group,مجموعة أسترا الصناعية
1213.SR,Naseej International Trading Co.,شركة نسيج العالمية التجارية
1214.SR,Al Hassan Ghazi Ibrahim Shaker Co.,شركة الحسن غازي إبراهيم شاكر
1301.SR,United Wire Factories Co.,شركة اتحاد مصانع الأسلاك
1302.SR,Bawan Co.,شركة بوان
1303.SR,Electrical Industries Co.,شركة الصناعات الكهربائية
1304.SR,Al Yamamah Steel Industries Co.,شركة اليمامة للصناعات الحديدية
1320.SR,Saudi Steel Pipe Co.,الشركة السعودية لأنابيب الصلب
1810.SR,Seera Group Holding,مجموعة سيرا القابضة
1820.SR,Abdulmohsen Alhokair Group for Tourism and Development,مجموعة عبد المحسن الحكير للسياحة والتنمية
1830.SR,Leejam Sports Co.,شركة لجام للرياضة
1831.SR,Maharah Human Resources Co.,شركة مهارة للموارد البشرية
2001.SR,Methanol Chemicals Co.,شركة كيمائيات الميثانول
2010.SR,Saudi Basic Industries Corp.,الشركة السعودية للصناعات الأساسية
2020.SR,SABIC Agri-Nutrients Co.,شركة سابك للمغذيات الزراعية
2030.SR,Saudi Arabia Refineries Co.,شركة المصافي العربية السعودية
2040.SR,Saudi Ceramic Co.,شركة الخزف السعودي
2050.SR,Savola Group,مجموعة صافولا
2060.SR,National Industrialization Co.,شركة التصنيع الوطنية
2070.SR,Saudi Pharmaceutical Industries and Medical Appliances Corp.,الشركة السعودية للصناعات الدوائية والمستلزمات الطبية
2080.SR,National Gas and Industrialization Co.,شركة الغاز والتصنيع الأهلية
2090.SR,National Gypsum Co.,شركة الجبس الأهلية
2100.SR,Wafrah for Industry and Development Co.,شركة وفرة للصناعة والتنمية
2110.SR,Saudi Cable Co.,شركة الكابلات السعودية
2120.SR,Saudi Advanced Industries Co.,الشركة السعودية للصناعات المتطورة
2130.SR,Saudi Industrial Development Co.,الشركة السعودية للتنمية الصناعية
2140.SR,Ayyan Investment Co.,شركة أيان للاستثمار
2150.SR,The National Company for Glass Industries,شركة الصناعات الزجاجية الوطنية
2160.SR,Saudi Arabian Amiantit Co.,شركة أميانتيت العربية السعودية
2170.SR,Alujain Holding Corp.,شركة اللجين القابضة
2180.SR,Filing and Packing Materials Manufacturing Co.,شركة تصنيع مواد التعبئة والتغليف
2190.SR,Saudi Industrial Services Co.,الشركة السعودية للخدمات الصناعية
2200.SR,Arabian Pipes Co.,الشركة العربية للأنابيب
2210.SR,Nama Chemicals Co.,شركة نماء للكيماويات
2220.SR,National Metal Manufacturing and Casting Co.,الشركة الوطنية لتصنيع وسبك المعادن
2222.SR,Saudi Aramco,أرامكو السعودية
2230.SR,Saudi Chemical Co.,الشركة الكيميائية السعودية القابضة
2240.SR,Zamil Industrial Investment Co.,شركة الزامل للاستثمار الصناعي
2250.SR,Saudi Industrial Investment Group,المجموعة السعودية للاستثمار الصناعي
2270.SR,Saudia Dairy and Foodstuff Co.,الشركة السعودية لمنتجات الألبان والأغذية
2280.SR,Almarai Co.,شركة المراعي
2290.SR,Yanbu National Petrochemical Co.,شركة ينبع الوطنية للبتروكيماويات
2300.SR,Saudi Paper Manufacturing Co.,الشركة السعودية لصناعة الورق
2310.SR,Sahara International Petrochemical Co.,شركة الصحراء العالمية للبتروكيماويات
2320.SR,Al-Babtain Power and Telecommunication Co.,شركة البابطين للطاقة والإتصالات
2330.SR,Advanced Petrochemical Co.,الشركة المتقدمة للبتروكيماويات
2340.SR,Al Abdullatif Industrial Investment Co.,شركة العبد اللطيف للاستثمار الصناعي
2350.SR,Saudi Kayan Petrochemical Co.,شركة كيان السعودية للبتروكيماويات
2360.SR,Saudi Vitrified Clay Pipes Co.,الشركة السعودية لإنتاج الأنابيب الفخارية
2370.SR,Middle East Specialized Cables Co.,شركة الشرق الأوسط للكابلات المتخصصة
2380.SR,Rabigh Refining and Petrochemical Co.,شركة رابغ للتكرير والبتروكيماويات
3002.SR,Najran Cement Co.,شركة أسمنت نجران
3003.SR,City Cement Co.,شركة أسمنت المدينة
3004.SR,Northern Region Cement Co.,شركة أسمنت المنطقة الشمالية
3005.SR,Umm Al-Qura Cement Co.,شركة إسمنت أم القرى
3007.SR,Zahrat Al Waha for Trading Co.,شركة زهرة الواحة للتجارة
3008.SR,Al Kathiri Holding Co.,شركة الكثيري القابضة
3010.SR,Arabian Cement Co.,شركة الأسمنت العربية
3020.SR,Yamama Cement Co.,شركة أسمنت اليمامة
3030.SR,Saudi Cement Co.,شركة الأسمنت السعودية
3040.SR,Qassim Cement Co.,شركة أسمنت القصيم
3050.SR,Southern Province Cement Co.,شركة أسمنت المنطقة الجنوبية
3060.SR,Yanbu Cement Co.,شركة أسمنت ينبع
3080.SR,Eastern Province Cement Co.,شركة أسمنت المنطقة الشرقية
3090.SR,Tabuk Cement Co.,شركة أسمنت تبوك
3091.SR,Al Jouf Cement Co.,شركة أسمنت الجوف
4001.SR,Abdullah Al Othaim Markets Co.,شركة أسواق عبدالله العثيم
4002.SR,Mouwasat Medical Services Co.,شركة المواساة للخدمات الطبية
4003.SR,United Electronics Co.,الشركة المتحدة للإلكترونيات
4004.SR,Dallah Healthcare Co.,شركة دله للخدمات الصحية
4005.SR,National Medical Care Co.,الشركة الوطنية للرعاية الطبية
4006.SR,Saudi Marketing Co.,الشركة السعودية للتسويق
4007.SR,Al Hammadi Company for Development and Investment,شركة الحمادي للتنمية والإستثمار
4008.SR,Saudi Company for Hardware,الشركة السعودية للعدد والأدوات
4009.SR,Middle East Healthcare Co.,شركة الشرق الأوسط للرعاية الصحية
4011.SR,Lazurde Company for Jewelry,شركة لازوردي للمجوهرات
4012.SR,Thob Al Aseel Co.,شركة ثوب الأصيل
