ticker,name_ar
1010.SR,بنك الرياض
1020.SR,بنك الجزيرة
1030.SR,البنك السعودي للاستثمار
1050.SR,البنك السعودي الفرنسي
1060.SR,البنك السعودي الأول
1080.SR,البنك العربي الوطني
1120.SR,مصرف الراجحي
1140.SR,بنك البلاد
1150.SR,مصرف الإنماء
1180.SR,البنك الأهلي السعودي
1201.SR,شركة تكوين المتطورة للصناعات
1202.SR,شركة الشرق الأوسط لصناعة وإنتاج الورق
1210.SR,شركة الصناعات الكيميائية الأساسية
1211.SR,شركة التعدين العربية السعودية
1212.SR,مجموعة أسترا الصناعية
1213.SR,شركة نسيج العالمية التجارية
1214.SR,شركة الحسن غازي إبراهيم شاكر
1301.SR,شركة اتحاد مصانع الأسلاك
1302.SR,شركة بوان
1303.SR,شركة الصناعات الكهربائية
1304.SR,شركة اليمامة للصناعات الحديدية
1320.SR,الشركة السعودية لأنابيب الصلب
1810.SR,مجموعة سيرا القابضة
1820.SR,مجموعة عبد المحسن الحكير للسياحة والتنمية
1830.SR,شركة لجام للرياضة
1831.SR,شركة مهارة للموارد البشرية
2001.SR,شركة كيمائيات الميثانول
2010.SR,الشركة السعودية للصناعات الأساسية
2020.SR,شركة سابك للمغذيات الزراعية
2030.SR,شركة المصافي العربية السعودية
2040.SR,شركة الخزف السعودي
2050.SR,مجموعة صافولا
2060.SR,شركة التصنيع الوطنية
2070.SR,الشركة السعودية للصناعات الدوائية والمستلزمات الطبية
2080.SR,شركة الغاز والتصنيع الأهلية
2090.SR,شركة الجبس الأهلية
2100.SR,شركة وفرة للصناعة والتنمية
2110.SR,شركة الكابلات السعودية
2120.SR,الشركة السعودية للصناعات المتطورة
2130.SR,الشركة السعودية للتنمية الصناعية
2140.SR,شركة أيان للاستثمار
2150.SR,شركة الصناعات الزجاجية الوطنية
2160.SR,شركة أميانتيت العربية السعودية
2170.SR,شركة اللجين القابضة
2180.SR,شركة تصنيع مواد التعبئة والتغليف
2190.SR,الشركة السعودية للخدمات الصناعية
2200.SR,الشركة العربية للأنابيب
2210.SR,شركة نماء للكيماويات
2220.SR,الشركة الوطنية لتصنيع وسبك المعادن
2222.SR,أرامكو السعودية
2230.SR,الشركة الكيميائية السعودية القابضة
2240.SR,شركة الزامل للاستثمار الصناعي
2250.SR,المجموعة السعودية للاستثمار الصناعي
2270.SR,الشركة السعودية لمنتجات الألبان والأغذية
2280.SR,شركة المراعي
2290.SR,شركة ينبع الوطنية للبتروكيماويات
2300.SR,الشركة السعودية لصناعة الورق
2310.SR,شركة الصحراء العالمية للبتروكيماويات
2320.SR,شركة البابطين للطاقة والإتصالات
2330.SR,الشركة المتقدمة للبتروكيماويات
2340.SR,شركة العبد اللطيف للاستثمار الصناعي
2350.SR,شركة كيان السعودية للبتروكيماويات
2360.SR,الشركة السعودية لإنتاج الأنابيب الفخارية
2370.SR,شركة الشرق الأوسط للكابلات المتخصصة
